pokedex,fecha_captura,lugar,huevo,peso,estatura
1,2019-01-31,Independencia,false,20.9,0.5
1,2019-01-30,Estación Central,false,28.3,0.8
2,2019-02-01,Independencia,false,52.7,1.3
3,2019-03-01,Independencia,false,105.8,2.0
3,2019-01-29,Macul,false,100.5,2.1
4,2019-02-01,Independencia,false,22.9,0.6
4,2019-01-27,Independencia,false,31.7,0.7
5,2019-02-03,La Reina,false,60.1,1.2
5,2019-02-03,Pedro Aguirre Cerda,false,80.9,1.5
6,2019-01-27,Independencia,false,120.9,1.8
6,2019-02-08,Independencia,false,130.1,2.0
7,2019-02-08,Independencia,false,30.8,0.5
7,2019-01-26,Independencia,true,35.7,0.6
8,2019-02-16,Cerrillos,false,40.9,1.1
9,2019-02-16,Independencia,false,151.0,1.6
9,2019-01-26,Independencia,false,180.9,1.8
10,2019-02-13,Cerro Navia,false,10.1,0.5
10,2019-01-26,Independencia,false,7.1,0.2
11,2019-02-13,Santiago,true,25.9,0.7
11,2019-03-01,Santiago,false,25.1,0.5
12,2019-03-04,Recoleta,false,27.8,1.1
13,2019-01-26,Santiago,false,5.1,0.3
13,2019-03-04,La Granja,true,8.2,0.5
16,2019-03-04,Santiago,false,13.1,0.3
16,2019-01-01,Santiago,true,13.9,0.4
16,2019-03-08,Estación Central,false,13.2,0.3
19,2019-01-24,Santiago,false,10.8,0.4
19,2019-03-08,Estación Central,false,9.3,0.3
19,2019-03-08,Santiago,false,11.6,0.5
19,2019-01-24,Independencia,true,15.7,0.8
19,2019-03-14,Estación Central,false,6.6,0.3
20,2019-03-14,Independencia,false,45.8,0.7
21,2019-03-16,Recoleta,false,4.0,0.5
21,2019-03-17,Providencia,false,10.9,0.9
22,2019-03-18,Independencia,false,61.7,1.2
23,2019-02-21,Independencia,true,34.9,2.0
26,2019-02-21,Las Condes,false,41.9,0.8
27,2019-02-21,Independencia,false,22.9,0.6
28,2019-01-19,Estación Central,false,53.5,1.0
29,2019-02-21,Estación Central,false,7.1,0.5
30,2019-03-20,Providencia,false,25.9,0.9
31,2019-01-19,Independencia,false,99.8,1.8
33,2019-03-20,Santiago,true,23.0,0.9
33,2019-03-21,Independencia,false,22.1,0.8
34,2019-03-23,Las Condes,false,112.9,1.7
34,2019-06-21,Las Condes,false,150.1,1.9
34,2019-01-11,Independencia,false,88.1,1.5
34,2019-06-15,Santiago,false,70.9,1.4
34,2019-06-18,Independencia,false,130.1,1.8
35,2019-05-31,Santiago,false,8.0,0.6
35,2019-01-12,Estación Central,false,9.5,0.6
36,2019-04-30,Estación Central,false,80.1,1.7
36,2019-06-18,El Bosque,false,45.8,1.3
37,2019-03-29,El Bosque,false,11.9,0.7
38,2019-01-11,San Bernardo,false,35.8,1.8
40,2019-02-28,San Bernardo,false,15.4,1.2
41,2019-06-16,Maipu,false,8.9,0.9
41,2019-06-16,Maipu,false,5.1,0.4
41,2019-01-28,Las Condes,false,8.6,0.7
41,2019-07-27,Las Condes,false,4.9,0.5
41,2019-01-01,Independencia,false,9.1,0.9
41,2019-06-26,Peñalolén,false,15.8,1.1
41,2019-02-22,Independencia,false,4.8,0.4
41,2019-02-22,Santiago,false,7.6,0.5
41,2019-05-25,Santiago,false,6.3,0.6
44,2019-01-09,Santiago,false,23.8,0.8
45,2019-04-24,Santiago,false,20.8,1.3
48,2019-06-14,Estación Central,false,33.9,1.0
48,2019-03-23,Estación Central,false,29.7,0.9
48,2019-02-22,Estación Central,true,40.1,1.3
49,2019-02-23,Macul,false,14.2,1.5
49,2019-06-14,Macul,false,11.9,1.1
50,2019-01-25,La Granja,false,0.9,0.3
51,2019-06-05,Macul,false,33.9,0.7
52,2019-06-05,Macul,false,4.5,0.6
52,2019-07-03,Santiago,false,7.5,0.9
52,2019-06-02,Independencia,false,3.1,0.3
53,2019-01-09,Estación Central,false,28.9,0.9
53,2019-05-05,Estación Central,false,27.0,1.0
55,2019-04-04,Estación Central,false,80.1,1.8
56,2019-02-24,Independencia,false,25.0,0.6
57,2019-06-21,La Reina,false,40.1,0.8
